image_id,class_name,relative_path,absolute_path,file_size_bytes,width,height,mode,sha256,phash_hex,dhash_hex
IMG000001,喉癌,喉癌/06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759626.jpg,D:\疲劳状态标注\AA喉部图像质量控制\喉癌\06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759626.jpg,104821,716,556,RGB,f52a1145820a193240c862a821c2fd329a45bcdc5ad57ba506f6096aee4e50db,d497d11ad2786a63,f06646e44c2991c0
IMG000002,喉癌,喉癌/06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759629.jpg,D:\疲劳状态标注\AA喉部图像质量控制\喉癌\06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759629.jpg,88426,718,556,RGB,6dde5e73362becec5a768eb0d4c83dbe1821a8e8ad7518cb08050ddcea0a4a06,a3cc04c9de7863b9,e2e68a0d5cce8e8e
IMG000003,喉癌,喉癌/06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759630.jpg,D:\疲劳状态标注\AA喉部图像质量控制\喉癌\06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759630.jpg,97032,718,556,RGB,fa1b6250c55ac671a5a90f6cc20d4e26c92115679cd15cf69067a7d094c092ad,a3cd24c9ce7863d8,e6ee8a09ddce8e8e
IMG000004,喉癌,喉癌/06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759632.jpg,D:\疲劳状态标注\AA喉部图像质量控制\喉癌\06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759632.jpg,126686,716,556,RGB,ecf4971b39ce8e060c223936a5315e50049896297266be81cd810d095b6c1f43,b19652c94c764bb6,981c1c2632539d96
IMG000005,喉癌,喉癌/06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759633.jpg,D:\疲劳状态标注\AA喉部图像质量控制\喉癌\06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759633.jpg,126698,716,556,RGB,73b418bcb215673ea9ad4f50e82e575363fbc6dd53f1bc470bc7b2cb561f6c5a,b19652c94c764bb6,981c1c2632539d96
IMG000006,喉癌,喉癌/06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759634.jpg,D:\疲劳状态标注\AA喉部图像质量控制\喉癌\06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759634.jpg,129392,716,556,RGB,740187c06f721c82ef08182244164f0a5361829bebc0a820c2f62b6f76f03503,f1b506da99e428c7,8c0e861399a90c46
IMG000007,喉癌,喉癌/06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759635.jpg,D:\疲劳状态标注\AA喉部图像质量控制\喉癌\06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759635.jpg,129576,716,556,RGB,39c57457added8b698059663c4e4d9094ce9e8bcab7dae5a4d6652c4dd4a483d,f1b506da99e428c7,8c0e861399a90c46
IMG000008,喉癌,喉癌/06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759636.jpg,D:\疲劳状态标注\AA喉部图像质量控制\喉癌\06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759636.jpg,97998,718,556,RGB,44dae103374fe9efd7e041d308634e4a5933d1863ce18c2c3b8336dbf19bd3b6,f19626da096d265b,cc8c8c929b8d8683
IMG000009,喉癌,喉癌/06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759637.jpg,D:\疲劳状态标注\AA喉部图像质量控制\喉癌\06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759637.jpg,104038,718,556,RGB,1cafa32fa67940e6fc30d9c313bd1e82d21bbcee1ea2d3b0ead04d67aa02ba7a,f19626da4965265b,dc8c8c929b8d0603
IMG000010,喉癌,喉癌/06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759639.jpg,D:\疲劳状态标注\AA喉部图像质量控制\喉癌\06F8D3E84A414E7CB48FE2A764606B13_EBYHJ11759639.jpg,99728,718,556,RGB,1461294e19aface2151c5aea4002cbaf3e43997d29c180ed585cc2261e03e7f9,f19620f25bc96536,9c8c961a0d079387
